ExternalId,Subject,Status,Priority,Reason,Account_ExternalId__c,Contact_ExternalId__c
CASE000052,Billing Issue — Case 52,Closed,,Billing Issue,ACC000052,
CASE000053,Billing Issue — Case 53,New,Medium,Billing Issue,ACC000053,CON000053
CASE000054,Billing Issue — Case 54,Working,Low,Billing Issue,ACC000054,CON000054
CASE000055,Billing Issue — Case 55,Escalated,,Billing Issue,ACC000055,
CASE000056,Billing Issue — Case 56,Closed,Medium,Billing Issue,ACC000056,CON000056
CASE000057,Billing Issue — Case 57,New,Low,Billing Issue,,CON000057
CASE000058,Billing Issue — Case 58,Working,,Billing Issue,ACC000058,
CASE000059,Billing Issue — Case 59,Escalated,Medium,Billing Issue,ACC000059,CON000059
CASE000060,Billing Issue — Case 60,Closed,Low,Billing Issue,ACC000060,CON000060
CASE000061,Billing Issue — Case 61,New,,Billing Issue,ACC000061,
CASE000062,Billing Issue — Case 62,Working,Medium,Billing Issue,ACC000062,CON000062
CASE000063,Billing Issue — Case 63,Escalated,Low,Billing Issue,ACC000063,CON000063
CASE000064,Billing Issue — Case 64,Closed,,Billing Issue,ACC000064,
CASE000065,Billing Issue — Case 65,New,Medium,Billing Issue,,CON000065
CASE000066,Billing Issue — Case 66,Working,Low,Billing Issue,ACC000066,CON000066
CASE000067,Billing Issue — Case 67,Escalated,,Billing Issue,ACC000067,
CASE000068,Billing Issue — Case 68,Closed,Medium,Billing Issue,ACC000068,CON000068
CASE000069,Billing Issue — Case 69,New,Low,Billing Issue,ACC000069,CON000069
CASE000070,Billing Issue — Case 70,Working,,Billing Issue,ACC000070,
CASE000071,Billing Issue — Case 71,Escalated,Medium,Billing Issue,ACC000071,CON000071
CASE000072,Billing Issue — Case 72,Closed,Low,Billing Issue,ACC000072,CON000072
CASE000073,Billing Issue — Case 73,New,,Billing Issue,,
CASE000074,Billing Issue — Case 74,Working,Medium,Billing Issue,ACC000074,CON000074
CASE000075,Billing Issue — Case 75,Escalated,Low,Billing Issue,ACC000075,CON000075
CASE000076,Billing Issue — Case 76,Closed,,Billing Issue,ACC000076,
CASE000077,Billing Issue — Case 77,New,Medium,Billing Issue,ACC000077,CON000077
CASE000078,Billing Issue — Case 78,Working,Low,Billing Issue,ACC000078,CON000078
CASE000079,Billing Issue — Case 79,Escalated,,Billing Issue,ACC000079,
CASE000080,Billing Issue — Case 80,Closed,Medium,Billing Issue,ACC000080,CON000080
CASE000081,Billing Issue — Case 81,New,Low,Billing Issue,,CON000081
CASE000082,Billing Issue — Case 82,Working,,Billing Issue,ACC000082,
CASE000083,Billing Issue — Case 83,Escalated,Medium,Billing Issue,ACC000083,CON000083
CASE000084,Billing Issue — Case 84,Closed,Low,Billing Issue,ACC000084,CON000084
CASE000085,Billing Issue — Case 85,New,,Billing Issue,ACC000085,
CASE000086,Billing Issue — Case 86,Working,Medium,Billing Issue,ACC000086,CON000086
CASE000087,Billing Issue — Case 87,Escalated,Low,Billing Issue,ACC000087,CON000087
CASE000088,Billing Issue — Case 88,Closed,,Billing Issue,ACC000088,
CASE000089,Billing Issue — Case 89,New,Medium,Billing Issue,,CON000089
CASE000090,Billing Issue — Case 90,Working,Low,Billing Issue,ACC000090,CON000090
CASE000091,Billing Issue — Case 91,Escalated,,Billing Issue,ACC000091,
CASE000092,Billing Issue — Case 92,Closed,Medium,Billing Issue,ACC000092,CON000092
CASE000093,Billing Issue — Case 93,New,Low,Billing Issue,ACC000093,CON000093
CASE000094,Billing Issue — Case 94,Working,,Billing Issue,ACC000094,
CASE000095,Billing Issue — Case 95,Escalated,Medium,Billing Issue,ACC000095,CON000095
CASE000096,Billing Issue — Case 96,Closed,Low,Billing Issue,ACC000096,CON000096
CASE000097,Billing Issue — Case 97,New,,Billing Issue,,
CASE000098,Billing Issue — Case 98,Working,Medium,Billing Issue,ACC000098,CON000098
CASE000099,Billing Issue — Case 99,Escalated,Low,Billing Issue,ACC000099,CON000099
CASE000100,Billing Issue — Case 100,Closed,,Billing Issue,ACC000100,
CASE000101,Billing Issue — Case 101,New,Medium,Billing Issue,ACC000101,CON000101
CASE000102,Billing Issue — Case 102,Working,Low,Billing Issue,ACC000102,CON000102
CASE000103,Billing Issue — Case 103,Escalated,,Billing Issue,ACC000103,
CASE000104,Billing Issue — Case 104,Closed,Medium,Billing Issue,ACC000104,CON000104
CASE000105,Billing Issue — Case 105,New,Low,Billing Issue,,CON000105
CASE000106,Billing Issue — Case 106,Working,,Billing Issue,ACC000106,
CASE000107,Billing Issue — Case 107,Escalated,Medium,Billing Issue,ACC000107,CON000107
CASE000108,Billing Issue — Case 108,Closed,Low,Billing Issue,ACC000108,CON000108
CASE000109,Billing Issue — Case 109,New,,Billing Issue,ACC000109,
CASE000110,Billing Issue — Case 110,Working,Medium,Billing Issue,ACC000110,CON000110
CASE000111,Billing Issue — Case 111,Escalated,Low,Billing Issue,ACC000111,CON000111
CASE000112,Billing Issue — Case 112,Closed,,Billing Issue,ACC000112,
CASE000113,Billing Issue — Case 113,New,Medium,Billing Issue,,CON000113
CASE000114,Billing Issue — Case 114,Working,Low,Billing Issue,ACC000114,CON000114
CASE000115,Billing Issue — Case 115,Escalated,,Billing Issue,ACC000115,
CASE000116,Billing Issue — Case 116,Closed,Medium,Billing Issue,ACC000116,CON000116
CASE000117,Billing Issue — Case 117,New,Low,Billing Issue,ACC000117,CON000117
CASE000118,Billing Issue — Case 118,Working,,Billing Issue,ACC000118,
CASE000119,Billing Issue — Case 119,Escalated,Medium,Billing Issue,ACC000119,CON000119
CASE000120,Billing Issue — Case 120,Closed,Low,Billing Issue,ACC000120,CON000120
CASE000121,Billing Issue — Case 121,New,,Billing Issue,,
CASE000122,Billing Issue — Case 122,Working,Medium,Billing Issue,ACC000122,CON000122
CASE000123,Billing Issue — Case 123,Escalated,Low,Billing Issue,ACC000123,CON000123
CASE000124,Billing Issue — Case 124,Closed,,Billing Issue,ACC000124,
CASE000125,Billing Issue — Case 125,New,Medium,Billing Issue,ACC000125,CON000125
CASE000126,Billing Issue — Case 126,Working,Low,Billing Issue,ACC000126,CON000126
CASE000127,Billing Issue — Case 127,Escalated,,Billing Issue,ACC000127,
CASE000128,Billing Issue — Case 128,Closed,Medium,Billing Issue,ACC000128,CON000128
CASE000129,Billing Issue — Case 129,New,Low,Billing Issue,,CON000129
CASE000130,Billing Issue — Case 130,Working,,Billing Issue,ACC000130,
CASE000131,Billing Issue — Case 131,Escalated,Medium,Billing Issue,ACC000131,CON000131
CASE000132,Billing Issue — Case 132,Closed,Low,Billing Issue,ACC000132,CON000132
CASE000133,Billing Issue — Case 133,New,,Billing Issue,ACC000133,
CASE000134,Billing Issue — Case 134,Working,Medium,Billing Issue,ACC000134,CON000134
CASE000135,Billing Issue — Case 135,Escalated,Low,Billing Issue,ACC000135,CON000135
CASE000136,Billing Issue — Case 136,Closed,,Billing Issue,ACC000136,
CASE000137,Billing Issue — Case 137,New,Medium,Billing Issue,,CON000137
CASE000138,Billing Issue — Case 138,Working,Low,Billing Issue,ACC000138,CON000138
CASE000139,Billing Issue — Case 139,Escalated,,Billing Issue,ACC000139,
CASE000140,Billing Issue — Case 140,Closed,Medium,Billing Issue,ACC000140,CON000140
CASE000141,Billing Issue — Case 141,New,Low,Billing Issue,ACC000141,CON000141
CASE000142,Billing Issue — Case 142,Working,,Billing Issue,ACC000142,
CASE000143,Billing Issue — Case 143,Escalated,Medium,Billing Issue,ACC000143,CON000143
CASE000144,Billing Issue — Case 144,Closed,Low,Billing Issue,ACC000144,CON000144
CASE000145,Billing Issue — Case 145,New,,Billing Issue,,
CASE000146,Billing Issue — Case 146,Working,Medium,Billing Issue,ACC000146,CON000146
CASE000147,Billing Issue — Case 147,Escalated,Low,Billing Issue,ACC000147,CON000147
CASE000148,Billing Issue — Case 148,Closed,,Billing Issue,ACC000148,
CASE000149,Billing Issue — Case 149,New,Medium,Billing Issue,ACC000149,CON000149
CASE000150,Billing Issue — Case 150,Working,Low,Billing Issue,ACC000150,CON000150
CASE000151,Billing Issue — Case 151,Escalated,,Billing Issue,ACC000151,
CASE000152,Billing Issue — Case 152,Closed,Medium,Billing Issue,ACC000152,CON000152
CASE000153,Billing Issue — Case 153,New,Low,Billing Issue,,CON000153
CASE000154,Billing Issue — Case 154,Working,,Billing Issue,ACC000154,
CASE000155,Billing Issue — Case 155,Escalated,Medium,Billing Issue,ACC000155,CON000155
CASE000156,Billing Issue — Case 156,Closed,Low,Billing Issue,ACC000156,CON000156
CASE000157,Billing Issue — Case 157,New,,Billing Issue,ACC000157,
CASE000158,Billing Issue — Case 158,Working,Medium,Billing Issue,ACC000158,CON000158
CASE000159,Billing Issue — Case 159,Escalated,Low,Billing Issue,ACC000159,CON000159
CASE000160,Billing Issue — Case 160,Closed,,Billing Issue,ACC000160,
CASE000161,Billing Issue — Case 161,New,Medium,Billing Issue,,CON000161
CASE000162,Billing Issue — Case 162,Working,Low,Billing Issue,ACC000162,CON000162
CASE000163,Billing Issue — Case 163,Escalated,,Billing Issue,ACC000163,
CASE000164,Billing Issue — Case 164,Closed,Medium,Billing Issue,ACC000164,CON000164
CASE000165,Billing Issue — Case 165,New,Low,Billing Issue,ACC000165,CON000165
CASE000166,Billing Issue — Case 166,Working,,Billing Issue,ACC000166,
CASE000167,Billing Issue — Case 167,Escalated,Medium,Billing Issue,ACC000167,CON000167
CASE000168,Billing Issue — Case 168,Closed,Low,Billing Issue,ACC000168,CON000168
CASE000169,Billing Issue — Case 169,New,,Billing Issue,,
CASE000170,Billing Issue — Case 170,Working,Medium,Billing Issue,ACC000170,CON000170
CASE000171,Billing Issue — Case 171,Escalated,Low,Billing Issue,ACC000171,CON000171
CASE000172,Billing Issue — Case 172,Closed,,Billing Issue,ACC000172,
CASE000173,Billing Issue — Case 173,New,Medium,Billing Issue,ACC000173,CON000173
CASE000174,Billing Issue — Case 174,Working,Low,Billing Issue,ACC000174,CON000174
CASE000175,Billing Issue — Case 175,Escalated,,Billing Issue,ACC000175,
CASE000176,Billing Issue — Case 176,Closed,Medium,Billing Issue,ACC000176,CON000176
CASE000177,Billing Issue — Case 177,New,Low,Billing Issue,,CON000177
CASE000178,Billing Issue — Case 178,Working,,Billing Issue,ACC000178,
CASE000179,Billing Issue — Case 179,Escalated,Medium,Billing Issue,ACC000179,CON000179
CASE000180,Billing Issue — Case 180,Closed,Low,Billing Issue,ACC000180,CON000180
CASE000181,Billing Issue — Case 181,New,,Billing Issue,ACC000181,
CASE000182,Billing Issue — Case 182,Working,Medium,Billing Issue,ACC000182,CON000182
CASE000183,Billing Issue — Case 183,Escalated,Low,Billing Issue,ACC000183,CON000183
CASE000184,Billing Issue — Case 184,Closed,,Billing Issue,ACC000184,
CASE000185,Billing Issue — Case 185,New,Medium,Billing Issue,,CON000185
CASE000186,Billing Issue — Case 186,Working,Low,Billing Issue,ACC000186,CON000186
CASE000187,Billing Issue — Case 187,Escalated,,Billing Issue,ACC000187,
CASE000188,Billing Issue — Case 188,Closed,Medium,Billing Issue,ACC000188,CON000188
CASE000189,Billing Issue — Case 189,New,Low,Billing Issue,ACC000189,CON000189
CASE000190,Billing Issue — Case 190,Working,,Billing Issue,ACC000190,
CASE000191,Billing Issue — Case 191,Escalated,Medium,Billing Issue,ACC000191,CON000191
CASE000192,Billing Issue — Case 192,Closed,Low,Billing Issue,ACC000192,CON000192
CASE000193,Billing Issue — Case 193,New,,Billing Issue,,
CASE000194,Billing Issue — Case 194,Working,Medium,Billing Issue,ACC000194,CON000194
CASE000195,Billing Issue — Case 195,Escalated,Low,Billing Issue,ACC000195,CON000195
CASE000196,Billing Issue — Case 196,Closed,,Billing Issue,ACC000196,
CASE000197,Billing Issue — Case 197,New,Medium,Billing Issue,ACC000197,CON000197
CASE000198,Billing Issue — Case 198,Working,Low,Billing Issue,ACC000198,CON000198
CASE000199,Billing Issue — Case 199,Escalated,,Billing Issue,ACC000199,
CASE000200,Billing Issue — Case 200,Closed,Medium,Billing Issue,ACC000200,CON000200
CASE000201,Billing Issue — Case 201,New,Low,Billing Issue,,CON000201
CASE000202,Billing Issue — Case 202,Working,,Billing Issue,ACC000202,
CASE000203,Billing Issue — Case 203,Escalated,Medium,Billing Issue,ACC000203,CON000203
CASE000204,Billing Issue — Case 204,Closed,Low,Billing Issue,ACC000204,CON000204
CASE000205,Billing Issue — Case 205,New,,Billing Issue,ACC000205,
CASE000206,Billing Issue — Case 206,Working,Medium,Billing Issue,ACC000206,CON000206
CASE000207,Billing Issue — Case 207,Escalated,Low,Billing Issue,ACC000207,CON000207
CASE000208,Billing Issue — Case 208,Closed,,Billing Issue,ACC000208,
CASE000209,Billing Issue — Case 209,New,Medium,Billing Issue,,CON000209
CASE000210,Billing Issue — Case 210,Working,Low,Billing Issue,ACC000210,CON000210
CASE000211,Billing Issue — Case 211,Escalated,,Billing Issue,ACC000211,
CASE000212,Billing Issue — Case 212,Closed,Medium,Billing Issue,ACC000212,CON000212
CASE000213,Billing Issue — Case 213,New,Low,Billing Issue,ACC000213,CON000213
CASE000214,Billing Issue — Case 214,Working,,Billing Issue,ACC000214,
CASE000215,Billing Issue — Case 215,Escalated,Medium,Billing Issue,ACC000215,CON000215
CASE000216,Billing Issue — Case 216,Closed,Low,Billing Issue,ACC000216,CON000216
CASE000217,Billing Issue — Case 217,New,,Billing Issue,,
CASE000218,Billing Issue — Case 218,Working,Medium,Billing Issue,ACC000218,CON000218
CASE000219,Billing Issue — Case 219,Escalated,Low,Billing Issue,ACC000219,CON000219
CASE000220,Billing Issue — Case 220,Closed,,Billing Issue,ACC000220,
CASE000221,Billing Issue — Case 221,New,Medium,Billing Issue,ACC000221,CON000221
CASE000222,Billing Issue — Case 222,Working,Low,Billing Issue,ACC000222,CON000222
CASE000223,Billing Issue — Case 223,Escalated,,Billing Issue,ACC000223,
CASE000224,Billing Issue — Case 224,Closed,Medium,Billing Issue,ACC000224,CON000224
CASE000225,Billing Issue — Case 225,New,Low,Billing Issue,,CON000225
CASE000226,Billing Issue — Case 226,Working,,Billing Issue,ACC000226,
CASE000227,Billing Issue — Case 227,Escalated,Medium,Billing Issue,ACC000227,CON000227
CASE000228,Billing Issue — Case 228,Closed,Low,Billing Issue,ACC000228,CON000228
CASE000229,Billing Issue — Case 229,New,,Billing Issue,ACC000229,
CASE000230,Billing Issue — Case 230,Working,Medium,Billing Issue,ACC000230,CON000230
CASE000231,Billing Issue — Case 231,Escalated,Low,Billing Issue,ACC000231,CON000231
CASE000232,Billing Issue — Case 232,Closed,,Billing Issue,ACC000232,
CASE000233,Billing Issue — Case 233,New,Medium,Billing Issue,,CON000233
CASE000234,Billing Issue — Case 234,Working,Low,Billing Issue,ACC000234,CON000234
CASE000235,Billing Issue — Case 235,Escalated,,Billing Issue,ACC000235,
CASE000236,Billing Issue — Case 236,Closed,Medium,Billing Issue,ACC000236,CON000236
CASE000237,Billing Issue — Case 237,New,Low,Billing Issue,ACC000237,CON000237
CASE000238,Billing Issue — Case 238,Working,,Billing Issue,ACC000238,
CASE000239,Billing Issue — Case 239,Escalated,Medium,Billing Issue,ACC000239,CON000239
CASE000240,Billing Issue — Case 240,Closed,Low,Billing Issue,ACC000240,CON000240
CASE000241,Billing Issue — Case 241,New,,Billing Issue,,
CASE000242,Billing Issue — Case 242,Working,Medium,Billing Issue,ACC000242,CON000242
CASE000243,Billing Issue — Case 243,Escalated,Low,Billing Issue,ACC000243,CON000243
CASE000244,Billing Issue — Case 244,Closed,,Billing Issue,ACC000244,
CASE000245,Billing Issue — Case 245,New,Medium,Billing Issue,ACC000245,CON000245
CASE000246,Billing Issue — Case 246,Working,Low,Billing Issue,ACC000246,CON000246
CASE000247,Billing Issue — Case 247,Escalated,,Billing Issue,ACC000247,
CASE000248,Billing Issue — Case 248,Closed,Medium,Billing Issue,ACC000248,CON000248
CASE000249,Billing Issue — Case 249,New,Low,Billing Issue,,CON000249
CASE000250,Billing Issue — Case 250,Working,,Billing Issue,ACC000250,
CASE000251,Billing Issue — Case 251,Escalated,Medium,Billing Issue,ACC000251,CON000251
CASE000252,Billing Issue — Case 252,Closed,Low,Billing Issue,ACC000252,CON000252
CASE000253,Billing Issue — Case 253,New,,Billing Issue,ACC000253,
CASE000254,Billing Issue — Case 254,Working,Medium,Billing Issue,ACC000254,CON000254
CASE000255,Billing Issue — Case 255,Escalated,Low,Billing Issue,ACC000255,CON000255
CASE000256,Billing Issue — Case 256,Closed,,Billing Issue,ACC000256,
CASE000257,Billing Issue — Case 257,New,Medium,Billing Issue,,CON000257
CASE000258,Billing Issue — Case 258,Working,Low,Billing Issue,ACC000258,CON000258
CASE000259,Billing Issue — Case 259,Escalated,,Billing Issue,ACC000259,
CASE000260,Billing Issue — Case 260,Closed,Medium,Billing Issue,ACC000260,CON000260
CASE000261,Billing Issue — Case 261,New,Low,Billing Issue,ACC000261,CON000261
CASE000262,Billing Issue — Case 262,Working,,Billing Issue,ACC000262,
CASE000263,Billing Issue — Case 263,Escalated,Medium,Billing Issue,ACC000263,CON000263
CASE000264,Billing Issue — Case 264,Closed,Low,Billing Issue,ACC000264,CON000264
CASE000265,Billing Issue — Case 265,New,,Billing Issue,,
CASE000266,Billing Issue — Case 266,Working,Medium,Billing Issue,ACC000266,CON000266
CASE000267,Billing Issue — Case 267,Escalated,Low,Billing Issue,ACC000267,CON000267
CASE000268,Billing Issue — Case 268,Closed,,Billing Issue,ACC000268,
CASE000269,Billing Issue — Case 269,New,Medium,Billing Issue,ACC000269,CON000269
CASE000270,Billing Issue — Case 270,Working,Low,Billing Issue,ACC000270,CON000270
CASE000271,Billing Issue — Case 271,Escalated,,Billing Issue,ACC000271,
CASE000272,Billing Issue — Case 272,Closed,Medium,Billing Issue,ACC000272,CON000272
CASE000273,Billing Issue — Case 273,New,Low,Billing Issue,,CON000273
CASE000274,Billing Issue — Case 274,Working,,Billing Issue,ACC000274,
CASE000275,Billing Issue — Case 275,Escalated,Medium,Billing Issue,ACC000275,CON000275
CASE000276,Billing Issue — Case 276,Closed,Low,Billing Issue,ACC000276,CON000276
CASE000277,Billing Issue — Case 277,New,,Billing Issue,ACC000277,
CASE000278,Billing Issue — Case 278,Working,Medium,Billing Issue,ACC000278,CON000278
CASE000279,Billing Issue — Case 279,Escalated,Low,Billing Issue,ACC000279,CON000279
CASE000280,Billing Issue — Case 280,Closed,,Billing Issue,ACC000280,
CASE000281,Billing Issue — Case 281,New,Medium,Billing Issue,,CON000281
CASE000282,Billing Issue — Case 282,Working,Low,Billing Issue,ACC000282,CON000282
CASE000283,Billing Issue — Case 283,Escalated,,Billing Issue,ACC000283,
CASE000284,Billing Issue — Case 284,Closed,Medium,Billing Issue,ACC000284,CON000284
CASE000285,Billing Issue — Case 285,New,Low,Billing Issue,ACC000285,CON000285
CASE000286,Billing Issue — Case 286,Working,,Billing Issue,ACC000286,
CASE000287,Billing Issue — Case 287,Escalated,Medium,Billing Issue,ACC000287,CON000287
CASE000288,Billing Issue — Case 288,Closed,Low,Billing Issue,ACC000288,CON000288
CASE000289,Billing Issue — Case 289,New,,Billing Issue,,
CASE000290,Billing Issue — Case 290,Working,Medium,Billing Issue,ACC000290,CON000290
CASE000291,Billing Issue — Case 291,Escalated,Low,Billing Issue,ACC000291,CON000291
CASE000292,Billing Issue — Case 292,Closed,,Billing Issue,ACC000292,
CASE000293,Billing Issue — Case 293,New,Medium,Billing Issue,ACC000293,CON000293
CASE000294,Billing Issue — Case 294,Working,Low,Billing Issue,ACC000294,CON000294
CASE000295,Billing Issue — Case 295,Escalated,,Billing Issue,ACC000295,
CASE000296,Billing Issue — Case 296,Closed,Medium,Billing Issue,ACC000296,CON000296
CASE000297,Billing Issue — Case 297,New,Low,Billing Issue,,CON000297
CASE000298,Billing Issue — Case 298,Working,,Billing Issue,ACC000298,
CASE000299,Billing Issue — Case 299,Escalated,Medium,Billing Issue,ACC000299,CON000299
CASE000300,Billing Issue — Case 300,Closed,Low,Billing Issue,ACC000300,CON000300
CASE000301,Billing Issue — Case 301,New,,Billing Issue,ACC000301,
CASE000302,Billing Issue — Case 302,Working,Medium,Billing Issue,ACC000302,CON000302
CASE000303,Billing Issue — Case 303,Escalated,Low,Billing Issue,ACC000303,CON000303
CASE000304,Billing Issue — Case 304,Closed,,Billing Issue,ACC000304,
CASE000305,Billing Issue — Case 305,New,Medium,Billing Issue,,CON000305
CASE000306,Billing Issue — Case 306,Working,Low,Billing Issue,ACC000306,CON000306
CASE000307,Billing Issue — Case 307,Escalated,,Billing Issue,ACC000307,
CASE000308,Billing Issue — Case 308,Closed,Medium,Billing Issue,ACC000308,CON000308
CASE000309,Billing Issue — Case 309,New,Low,Billing Issue,ACC000309,CON000309
CASE000310,Billing Issue — Case 310,Working,,Billing Issue,ACC000310,
CASE000311,Billing Issue — Case 311,Escalated,Medium,Billing Issue,ACC000311,CON000311
CASE000312,Billing Issue — Case 312,Closed,Low,Billing Issue,ACC000312,CON000312
CASE000313,Billing Issue — Case 313,New,,Billing Issue,,
CASE000314,Policy Change — Case 314,Working,Medium,Policy Change,ACC000314,CON000314
CASE000315,Policy Change — Case 315,Escalated,Low,Policy Change,ACC000315,CON000315
CASE000316,Policy Change — Case 316,Closed,,Policy Change,ACC000316,
CASE000317,Policy Change — Case 317,New,Medium,Policy Change,ACC000317,CON000317
CASE000318,Policy Change — Case 318,Working,Low,Policy Change,ACC000318,CON000318
CASE000319,Policy Change — Case 319,Escalated,,Policy Change,ACC000319,
CASE000320,Policy Change — Case 320,Closed,Medium,Policy Change,ACC000320,CON000320
CASE000321,Policy Change — Case 321,New,Low,Policy Change,,CON000321
CASE000322,Policy Change — Case 322,Working,,Policy Change,ACC000322,
CASE000323,Policy Change — Case 323,Escalated,Medium,Policy Change,ACC000323,CON000323
CASE000324,Policy Change — Case 324,Closed,Low,Policy Change,ACC000324,CON000324
CASE000325,Policy Change — Case 325,New,,Policy Change,ACC000325,
CASE000326,Policy Change — Case 326,Working,Medium,Policy Change,ACC000326,CON000326
CASE000327,Policy Change — Case 327,Escalated,Low,Policy Change,ACC000327,CON000327
CASE000328,Policy Change — Case 328,Closed,,Policy Change,ACC000328,
CASE000329,Policy Change — Case 329,New,Medium,Policy Change,,CON000329
CASE000330,Policy Change — Case 330,Working,Low,Policy Change,ACC000330,CON000330
CASE000331,Policy Change — Case 331,Escalated,,Policy Change,ACC000331,
CASE000332,Policy Change — Case 332,Closed,Medium,Policy Change,ACC000332,CON000332
CASE000333,Policy Change — Case 333,New,Low,Policy Change,ACC000333,CON000333
CASE000334,Policy Change — Case 334,Working,,Policy Change,ACC000334,
CASE000335,Policy Change — Case 335,Escalated,Medium,Policy Change,ACC000335,CON000335
CASE000336,Policy Change — Case 336,Closed,Low,Policy Change,ACC000336,CON000336
CASE000337,Policy Change — Case 337,New,,Policy Change,,
CASE000338,Policy Change — Case 338,Working,Medium,Policy Change,ACC000338,CON000338
CASE000339,Policy Change — Case 339,Escalated,Low,Policy Change,ACC000339,CON000339
CASE000340,Policy Change — Case 340,Closed,,Policy Change,ACC000340,
CASE000341,Policy Change — Case 341,New,Medium,Policy Change,ACC000341,CON000341
CASE000342,Policy Change — Case 342,Working,Low,Policy Change,ACC000342,CON000342
CASE000343,Policy Change — Case 343,Escalated,,Policy Change,ACC000343,
CASE000344,Policy Change — Case 344,Closed,Medium,Policy Change,ACC000344,CON000344
CASE000345,Policy Change — Case 345,New,Low,Policy Change,,CON000345
CASE000346,Policy Change — Case 346,Working,,Policy Change,ACC000346,
CASE000347,Policy Change — Case 347,Escalated,Medium,Policy Change,ACC000347,CON000347
