ExternalId,Name,Account_ExternalId__c,StageName,CloseDate,Amount
OPP000024,Redwood Assurance Co. — Upgrade 2026,ACC000024,Value Proposition,2026-08-13,8151
OPP000025,Oakridge Financial Partners — Upsell 2026,ACC000025,Id. Decision Makers,2026-08-14,
OPP000026,Sunrise Financial Group — Renewal 2026,ACC000026,Perception Analysis,2026-08-15,8425
OPP000027,Meridian Life Partners — Expansion 2026,,Proposal/Price Quote,2026-08-16,8562
OPP000028,Pacific Coast Assurance — New Business 2026,ACC000028,Negotiation/Review,2026-08-17,8699
OPP000029,BlueSky Protection Services — Upgrade 2026,ACC000029,Closed Won,2026-08-18,8836
OPP000030,Cornerstone Risk Management — Upsell 2026,ACC000030,Closed Lost,2026-08-19,8973
OPP000031,Evergreen Coverage Co. — Renewal 2026,ACC000031,Prospecting,2026-08-20,
OPP000032,Pinnacle Insurance Brokers — Expansion 2026,ACC000032,Qualification,2026-08-21,9247
OPP000033,Heritage Mutual Group — New Business 2026,ACC000033,Needs Analysis,2026-08-22,9384
OPP000034,Coastal Risk Advisors — Upgrade 2026,ACC000034,Value Proposition,2026-08-23,9521
OPP000035,Summit Protection Alliance — Upsell 2026,ACC000035,Id. Decision Makers,2026-08-24,9658
OPP000036,Lighthouse Insurance Services — Renewal 2026,ACC000036,Perception Analysis,2026-08-25,9795
OPP000037,Cascade Financial Security — Expansion 2026,ACC000037,Proposal/Price Quote,2026-08-26,
OPP000038,Premier Risk Solutions — New Business 2026,ACC000038,Negotiation/Review,2026-08-27,10069
OPP000039,Horizon Assurance Group — Upgrade 2026,ACC000039,Closed Won,2026-08-28,10206
OPP000040,Keystone Benefits Co. — Upsell 2026,,Closed Lost,2026-08-29,10343
OPP000041,Streamline Coverage Partners — Renewal 2026,ACC000041,Prospecting,2026-08-30,10480
OPP000042,Apex Insurance Holdings — Expansion 2026,ACC000042,Qualification,2026-08-31,10617
OPP000043,Valley Risk Management — New Business 2026,ACC000043,Needs Analysis,2026-09-01,
OPP000044,Crestview Financial Services — Upgrade 2026,ACC000044,Value Proposition,2026-09-02,10891
OPP000045,Lakeside Protection Group — Upsell 2026,ACC000045,Id. Decision Makers,2026-09-03,11028
OPP000046,Sterling Risk Partners — Renewal 2026,ACC000046,Perception Analysis,2026-09-04,11165
OPP000047,Westpoint Insurance Alliance — Expansion 2026,ACC000047,Proposal/Price Quote,2026-09-05,11302
OPP000048,Clearwater Benefits Group — New Business 2026,ACC000048,Negotiation/Review,2026-09-06,11439
OPP000049,Redwood Assurance Co. — Upgrade 2026,ACC000049,Closed Won,2026-09-07,
OPP000050,Oakridge Financial Partners — Upsell 2026,ACC000050,Closed Lost,2026-09-08,11713
OPP000051,Sunrise Financial Group — Renewal 2026,ACC000051,Prospecting,2026-09-09,11850
OPP000052,Meridian Life Partners — Expansion 2026,ACC000052,Qualification,2026-09-10,11987
OPP000053,Pacific Coast Assurance — New Business 2026,,Needs Analysis,2026-09-11,12124
OPP000054,BlueSky Protection Services — Upgrade 2026,ACC000054,Value Proposition,2026-09-12,12261
OPP000055,Cornerstone Risk Management — Upsell 2026,ACC000055,Id. Decision Makers,2026-09-13,
OPP000056,Evergreen Coverage Co. — Renewal 2026,ACC000056,Perception Analysis,2026-09-14,12535
OPP000057,Pinnacle Insurance Brokers — Expansion 2026,ACC000057,Proposal/Price Quote,2026-09-15,12672
OPP000058,Heritage Mutual Group — New Business 2026,ACC000058,Negotiation/Review,2026-09-16,12809
OPP000059,Coastal Risk Advisors — Upgrade 2026,ACC000059,Closed Won,2026-09-17,12946
OPP000060,Summit Protection Alliance — Upsell 2026,ACC000060,Closed Lost,2026-09-18,13083
OPP000061,Lighthouse Insurance Services — Renewal 2026,ACC000061,Prospecting,2026-09-19,
OPP000062,Cascade Financial Security — Expansion 2026,ACC000062,Qualification,2026-09-20,13357
OPP000063,Premier Risk Solutions — New Business 2026,ACC000063,Needs Analysis,2026-09-21,13494
OPP000064,Horizon Assurance Group — Upgrade 2026,ACC000064,Value Proposition,2026-09-22,13631
OPP000065,Keystone Benefits Co. — Upsell 2026,ACC000065,Id. Decision Makers,2026-09-23,13768
OPP000066,Streamline Coverage Partners — Renewal 2026,,Perception Analysis,2026-09-24,13905
OPP000067,Apex Insurance Holdings — Expansion 2026,ACC000067,Proposal/Price Quote,2026-09-25,
OPP000068,Valley Risk Management — New Business 2026,ACC000068,Negotiation/Review,2026-09-26,14179
OPP000069,Crestview Financial Services — Upgrade 2026,ACC000069,Closed Won,2026-09-27,14316
OPP000070,Lakeside Protection Group — Upsell 2026,ACC000070,Closed Lost,2026-09-28,14453
OPP000071,Sterling Risk Partners — Renewal 2026,ACC000071,Prospecting,2026-09-29,14590
OPP000072,Westpoint Insurance Alliance — Expansion 2026,ACC000072,Qualification,2026-09-30,14727
OPP000073,Clearwater Benefits Group — New Business 2026,ACC000073,Needs Analysis,2026-10-01,
OPP000074,Redwood Assurance Co. — Upgrade 2026,ACC000074,Value Proposition,2026-10-02,15001
OPP000075,Oakridge Financial Partners — Upsell 2026,ACC000075,Id. Decision Makers,2026-10-03,15138
OPP000076,Sunrise Financial Group — Renewal 2026,ACC000076,Perception Analysis,2026-10-04,15275
OPP000077,Meridian Life Partners — Expansion 2026,ACC000077,Proposal/Price Quote,2026-10-05,15412
OPP000078,Pacific Coast Assurance — New Business 2026,ACC000078,Negotiation/Review,2026-10-06,15549
OPP000079,BlueSky Protection Services — Upgrade 2026,,Closed Won,2026-10-07,
OPP000080,Cornerstone Risk Management — Upsell 2026,ACC000080,Closed Lost,2026-10-08,15823
OPP000081,Evergreen Coverage Co. — Renewal 2026,ACC000081,Prospecting,2026-10-09,15960
OPP000082,Pinnacle Insurance Brokers — Expansion 2026,ACC000082,Qualification,2026-10-10,16097
OPP000083,Heritage Mutual Group — New Business 2026,ACC000083,Needs Analysis,2026-10-11,16234
OPP000084,Coastal Risk Advisors — Upgrade 2026,ACC000084,Value Proposition,2026-10-12,16371
OPP000085,Summit Protection Alliance — Upsell 2026,ACC000085,Id. Decision Makers,2026-10-13,
OPP000086,Lighthouse Insurance Services — Renewal 2026,ACC000086,Perception Analysis,2026-10-14,16645
OPP000087,Cascade Financial Security — Expansion 2026,ACC000087,Proposal/Price Quote,2026-10-15,16782
OPP000088,Premier Risk Solutions — New Business 2026,ACC000088,Negotiation/Review,2026-10-16,16919
OPP000089,Horizon Assurance Group — Upgrade 2026,ACC000089,Closed Won,2026-10-17,17056
OPP000090,Keystone Benefits Co. — Upsell 2026,ACC000090,Closed Lost,2026-10-18,17193
OPP000091,Streamline Coverage Partners — Renewal 2026,ACC000091,Prospecting,2026-10-19,
OPP000092,Apex Insurance Holdings — Expansion 2026,,Qualification,2026-10-20,17467
OPP000093,Valley Risk Management — New Business 2026,ACC000093,Needs Analysis,2026-10-21,17604
OPP000094,Crestview Financial Services — Upgrade 2026,ACC000094,Value Proposition,2026-10-22,17741
OPP000095,Lakeside Protection Group — Upsell 2026,ACC000095,Id. Decision Makers,2026-10-23,17878
OPP000096,Sterling Risk Partners — Renewal 2026,ACC000096,Perception Analysis,2026-10-24,18015
OPP000097,Westpoint Insurance Alliance — Expansion 2026,ACC000097,Proposal/Price Quote,2026-10-25,
OPP000098,Clearwater Benefits Group — New Business 2026,ACC000098,Negotiation/Review,2026-10-26,18289
OPP000099,Redwood Assurance Co. — Upgrade 2026,ACC000099,Closed Won,2026-10-27,18426
OPP000100,Oakridge Financial Partners — Upsell 2026,ACC000100,Closed Lost,2026-10-28,18563
OPP000101,Sunrise Financial Group — Renewal 2026,ACC000101,Prospecting,2026-10-29,18700
OPP000102,Meridian Life Partners — Expansion 2026,ACC000102,Qualification,2026-10-30,18837
OPP000103,Pacific Coast Assurance — New Business 2026,ACC000103,Needs Analysis,2026-10-31,
OPP000104,BlueSky Protection Services — Upgrade 2026,ACC000104,Value Proposition,2026-11-01,19111
OPP000105,Cornerstone Risk Management — Upsell 2026,,Id. Decision Makers,2026-11-02,19248
OPP000106,Evergreen Coverage Co. — Renewal 2026,ACC000106,Perception Analysis,2026-11-03,19385
OPP000107,Pinnacle Insurance Brokers — Expansion 2026,ACC000107,Proposal/Price Quote,2026-11-04,19522
OPP000108,Heritage Mutual Group — New Business 2026,ACC000108,Negotiation/Review,2026-11-05,19659
OPP000109,Coastal Risk Advisors — Upgrade 2026,ACC000109,Closed Won,2026-11-06,
OPP000110,Summit Protection Alliance — Upsell 2026,ACC000110,Closed Lost,2026-11-07,19933
OPP000111,Lighthouse Insurance Services — Renewal 2026,ACC000111,Prospecting,2026-11-08,20070
OPP000112,Cascade Financial Security — Expansion 2026,ACC000112,Qualification,2026-11-09,20207
OPP000113,Premier Risk Solutions — New Business 2026,ACC000113,Needs Analysis,2026-11-10,20344
OPP000114,Horizon Assurance Group — Upgrade 2026,ACC000114,Value Proposition,2026-11-11,20481
OPP000115,Keystone Benefits Co. — Upsell 2026,ACC000115,Id. Decision Makers,2026-11-12,
OPP000116,Streamline Coverage Partners — Renewal 2026,ACC000116,Perception Analysis,2026-11-13,20755
OPP000117,Apex Insurance Holdings — Expansion 2026,ACC000117,Proposal/Price Quote,2026-11-14,20892
OPP000118,Valley Risk Management — New Business 2026,,Negotiation/Review,2026-11-15,21029
OPP000119,Crestview Financial Services — Upgrade 2026,ACC000119,Closed Won,2026-11-16,21166
OPP000120,Lakeside Protection Group — Upsell 2026,ACC000120,Closed Lost,2026-11-17,21303
OPP000121,Sterling Risk Partners — Renewal 2026,ACC000121,Prospecting,2026-11-18,
OPP000122,Westpoint Insurance Alliance — Expansion 2026,ACC000122,Qualification,2026-11-19,21577
OPP000123,Clearwater Benefits Group — New Business 2026,ACC000123,Needs Analysis,2026-11-20,21714
OPP000124,Redwood Assurance Co. — Upgrade 2026,ACC000124,Value Proposition,2026-11-21,21851
OPP000125,Oakridge Financial Partners — Upsell 2026,ACC000125,Id. Decision Makers,2026-11-22,21988
OPP000126,Sunrise Financial Group — Renewal 2026,ACC000126,Perception Analysis,2026-11-23,22125
OPP000127,Meridian Life Partners — Expansion 2026,ACC000127,Proposal/Price Quote,2026-11-24,
OPP000128,Pacific Coast Assurance — New Business 2026,ACC000128,Negotiation/Review,2026-11-25,22399
OPP000129,BlueSky Protection Services — Upgrade 2026,ACC000129,Closed Won,2026-11-26,22536
OPP000130,Cornerstone Risk Management — Upsell 2026,ACC000130,Closed Lost,2026-11-27,22673
OPP000131,Evergreen Coverage Co. — Renewal 2026,,Prospecting,2026-11-28,22810
OPP000132,Pinnacle Insurance Brokers — Expansion 2026,ACC000132,Qualification,2026-11-29,22947
OPP000133,Heritage Mutual Group — New Business 2026,ACC000133,Needs Analysis,2026-11-30,
OPP000134,Coastal Risk Advisors — Upgrade 2026,ACC000134,Value Proposition,2026-12-01,23221
OPP000135,Summit Protection Alliance — Upsell 2026,ACC000135,Id. Decision Makers,2026-12-02,23358
OPP000136,Lighthouse Insurance Services — Renewal 2026,ACC000136,Perception Analysis,2026-12-03,23495
OPP000137,Cascade Financial Security — Expansion 2026,ACC000137,Proposal/Price Quote,2026-12-04,23632
OPP000138,Premier Risk Solutions — New Business 2026,ACC000138,Negotiation/Review,2026-12-05,23769
OPP000139,Horizon Assurance Group — Upgrade 2026,ACC000139,Closed Won,2026-12-06,
OPP000140,Keystone Benefits Co. — Upsell 2026,ACC000140,Closed Lost,2026-12-07,24043
OPP000141,Streamline Coverage Partners — Renewal 2026,ACC000141,Prospecting,2026-12-08,24180
OPP000142,Apex Insurance Holdings — Expansion 2026,ACC000142,Qualification,2026-12-09,24317
OPP000143,Valley Risk Management — New Business 2026,ACC000143,Needs Analysis,2026-12-10,24454
OPP000144,Crestview Financial Services — Upgrade 2026,,Value Proposition,2026-12-11,24591
OPP000145,Lakeside Protection Group — Upsell 2026,ACC000145,Id. Decision Makers,2026-12-12,
OPP000146,Sterling Risk Partners — Renewal 2026,ACC000146,Perception Analysis,2026-12-13,24865
OPP000147,Westpoint Insurance Alliance — Expansion 2026,ACC000147,Proposal/Price Quote,2026-12-14,25002
OPP000148,Clearwater Benefits Group — New Business 2026,ACC000148,Negotiation/Review,2026-12-15,25139
OPP000149,Redwood Assurance Co. — Upgrade 2026,ACC000149,Closed Won,2026-12-16,25276
OPP000150,Oakridge Financial Partners — Upsell 2026,ACC000150,Closed Lost,2026-12-17,25413
OPP000151,Sunrise Financial Group — Renewal 2026,ACC000151,Prospecting,2026-12-18,
OPP000152,Meridian Life Partners — Expansion 2026,ACC000152,Qualification,2026-12-19,25687
OPP000153,Pacific Coast Assurance — New Business 2026,ACC000153,Needs Analysis,2026-12-20,25824
OPP000154,BlueSky Protection Services — Upgrade 2026,ACC000154,Value Proposition,2026-12-21,25961
OPP000155,Cornerstone Risk Management — Upsell 2026,ACC000155,Id. Decision Makers,2026-12-22,26098
OPP000156,Evergreen Coverage Co. — Renewal 2026,ACC000156,Perception Analysis,2026-12-23,26235
OPP000157,Pinnacle Insurance Brokers — Expansion 2026,,Proposal/Price Quote,2026-12-24,
OPP000158,Heritage Mutual Group — New Business 2026,ACC000158,Negotiation/Review,2026-12-25,26509
OPP000159,Coastal Risk Advisors — Upgrade 2026,ACC000159,Closed Won,2026-12-26,26646
OPP000160,Summit Protection Alliance — Upsell 2026,ACC000160,Closed Lost,2026-12-27,26783
OPP000161,Lighthouse Insurance Services — Renewal 2026,ACC000161,Prospecting,2026-12-28,26920
OPP000162,Cascade Financial Security — Expansion 2026,ACC000162,Qualification,2026-12-29,27057
OPP000163,Premier Risk Solutions — New Business 2026,ACC000163,Needs Analysis,2026-12-30,
OPP000164,Horizon Assurance Group — Upgrade 2026,ACC000164,Value Proposition,2026-12-31,27331
OPP000165,Keystone Benefits Co. — Upsell 2026,ACC000165,Id. Decision Makers,2027-01-01,27468
OPP000166,Streamline Coverage Partners — Renewal 2026,ACC000166,Perception Analysis,2027-01-02,27605
OPP000167,Apex Insurance Holdings — Expansion 2026,ACC000167,Proposal/Price Quote,2027-01-03,27742
OPP000168,Valley Risk Management — New Business 2026,ACC000168,Negotiation/Review,2027-01-04,27879
OPP000169,Crestview Financial Services — Upgrade 2026,ACC000169,Closed Won,2027-01-05,
OPP000170,Lakeside Protection Group — Upsell 2026,,Closed Lost,2027-01-06,28153
OPP000171,Sterling Risk Partners — Renewal 2026,ACC000171,Prospecting,2027-01-07,28290
OPP000172,Westpoint Insurance Alliance — Expansion 2026,ACC000172,Qualification,2027-01-08,28427
OPP000173,Clearwater Benefits Group — New Business 2026,ACC000173,Needs Analysis,2027-01-09,28564
OPP000174,Redwood Assurance Co. — Upgrade 2026,ACC000174,Value Proposition,2027-01-10,28701
OPP000175,Oakridge Financial Partners — Upsell 2026,ACC000175,Id. Decision Makers,2027-01-11,
OPP000176,Sunrise Financial Group — Renewal 2026,ACC000176,Perception Analysis,2027-01-12,28975
OPP000177,Meridian Life Partners — Expansion 2026,ACC000177,Proposal/Price Quote,2027-01-13,29112
OPP000178,Pacific Coast Assurance — New Business 2026,ACC000178,Negotiation/Review,2027-01-14,29249
OPP000179,BlueSky Protection Services — Upgrade 2026,ACC000179,Closed Won,2027-01-15,29386
OPP000180,Cornerstone Risk Management — Upsell 2026,ACC000180,Closed Lost,2027-01-16,29523
OPP000181,Evergreen Coverage Co. — Renewal 2026,ACC000181,Prospecting,2027-01-17,
OPP000182,Pinnacle Insurance Brokers — Expansion 2026,ACC000182,Qualification,2027-01-18,29797
OPP000183,Heritage Mutual Group — New Business 2026,,Needs Analysis,2027-01-19,29934
OPP000184,Coastal Risk Advisors — Upgrade 2026,ACC000184,Value Proposition,2027-01-20,30071
OPP000185,Summit Protection Alliance — Upsell 2026,ACC000185,Id. Decision Makers,2027-01-21,30208
OPP000186,Lighthouse Insurance Services — Renewal 2026,ACC000186,Perception Analysis,2027-01-22,30345
OPP000187,Cascade Financial Security — Expansion 2026,ACC000187,Proposal/Price Quote,2027-01-23,
OPP000188,Premier Risk Solutions — New Business 2026,ACC000188,Negotiation/Review,2027-01-24,30619
OPP000189,Horizon Assurance Group — Upgrade 2026,ACC000189,Closed Won,2027-01-25,30756
OPP000190,Keystone Benefits Co. — Upsell 2026,ACC000190,Closed Lost,2027-01-26,30893
OPP000191,Streamline Coverage Partners — Renewal 2026,ACC000191,Prospecting,2027-01-27,31030
OPP000192,Apex Insurance Holdings — Expansion 2026,ACC000192,Qualification,2027-01-28,31167
OPP000193,Valley Risk Management — New Business 2026,ACC000193,Needs Analysis,2027-01-29,
OPP000194,Crestview Financial Services — Upgrade 2026,ACC000194,Value Proposition,2027-01-30,31441
OPP000195,Lakeside Protection Group — Upsell 2026,ACC000195,Id. Decision Makers,2027-01-31,31578
OPP000196,Sterling Risk Partners — Renewal 2026,,Perception Analysis,2027-02-01,31715
OPP000197,Westpoint Insurance Alliance — Expansion 2026,ACC000197,Proposal/Price Quote,2027-02-02,31852
OPP000198,Clearwater Benefits Group — New Business 2026,ACC000198,Negotiation/Review,2027-02-03,31989
OPP000199,Redwood Assurance Co. — Upgrade 2026,ACC000199,Closed Won,2027-02-04,
OPP000200,Oakridge Financial Partners — Upsell 2026,ACC000200,Closed Lost,2027-02-05,32263
OPP000201,Sunrise Financial Group — Renewal 2026,ACC000201,Prospecting,2027-02-06,32400
OPP000202,Meridian Life Partners — Expansion 2026,ACC000202,Qualification,2027-02-07,32537
OPP000203,Pacific Coast Assurance — New Business 2026,ACC000203,Needs Analysis,2027-02-08,32674
OPP000204,BlueSky Protection Services — Upgrade 2026,ACC000204,Value Proposition,2027-02-09,32811
OPP000205,Cornerstone Risk Management — Upsell 2026,ACC000205,Id. Decision Makers,2027-02-10,
OPP000206,Evergreen Coverage Co. — Renewal 2026,ACC000206,Perception Analysis,2027-02-11,33085
OPP000207,Pinnacle Insurance Brokers — Expansion 2026,ACC000207,Proposal/Price Quote,2027-02-12,33222
OPP000208,Heritage Mutual Group — New Business 2026,ACC000208,Negotiation/Review,2027-02-13,33359
OPP000209,Coastal Risk Advisors — Upgrade 2026,,Closed Won,2027-02-14,33496
OPP000210,Summit Protection Alliance — Upsell 2026,ACC000210,Closed Lost,2027-02-15,33633
OPP000211,Lighthouse Insurance Services — Renewal 2026,ACC000211,Prospecting,2027-02-16,
OPP000212,Cascade Financial Security — Expansion 2026,ACC000212,Qualification,2027-02-17,33907
OPP000213,Premier Risk Solutions — New Business 2026,ACC000213,Needs Analysis,2027-02-18,34044
OPP000214,Horizon Assurance Group — Upgrade 2026,ACC000214,Value Proposition,2027-02-19,34181
OPP000215,Keystone Benefits Co. — Upsell 2026,ACC000215,Id. Decision Makers,2027-02-20,34318
OPP000216,Streamline Coverage Partners — Renewal 2026,ACC000216,Perception Analysis,2027-02-21,34455
OPP000217,Apex Insurance Holdings — Expansion 2026,ACC000217,Proposal/Price Quote,2027-02-22,
OPP000218,Valley Risk Management — New Business 2026,ACC000218,Negotiation/Review,2027-02-23,34729
OPP000219,Crestview Financial Services — Upgrade 2026,ACC000219,Closed Won,2027-02-24,34866
OPP000220,Lakeside Protection Group — Upsell 2026,ACC000220,Closed Lost,2027-02-25,35003
OPP000221,Sterling Risk Partners — Renewal 2026,ACC000221,Prospecting,2027-02-26,35140
OPP000222,Westpoint Insurance Alliance — Expansion 2026,,Qualification,2027-02-27,35277
OPP000223,Clearwater Benefits Group — New Business 2026,ACC000223,Needs Analysis,2027-02-28,
OPP000224,Redwood Assurance Co. — Upgrade 2026,ACC000224,Value Proposition,2027-03-01,35551
OPP000225,Oakridge Financial Partners — Upsell 2026,ACC000225,Id. Decision Makers,2027-03-02,35688
OPP000226,Sunrise Financial Group — Renewal 2026,ACC000226,Perception Analysis,2027-03-03,35825
OPP000227,Meridian Life Partners — Expansion 2026,ACC000227,Proposal/Price Quote,2027-03-04,35962
OPP000228,Pacific Coast Assurance — New Business 2026,ACC000228,Negotiation/Review,2027-03-05,36099
OPP000229,BlueSky Protection Services — Upgrade 2026,ACC000229,Closed Won,2027-03-06,
OPP000230,Cornerstone Risk Management — Upsell 2026,ACC000230,Closed Lost,2027-03-07,36373
OPP000231,Evergreen Coverage Co. — Renewal 2026,ACC000231,Prospecting,2027-03-08,36510
OPP000232,Pinnacle Insurance Brokers — Expansion 2026,ACC000232,Qualification,2027-03-09,36647
OPP000233,Heritage Mutual Group — New Business 2026,ACC000233,Needs Analysis,2027-03-10,36784
OPP000234,Coastal Risk Advisors — Upgrade 2026,ACC000234,Value Proposition,2027-03-11,36921
OPP000235,Summit Protection Alliance — Upsell 2026,,Id. Decision Makers,2027-03-12,
OPP000236,Lighthouse Insurance Services — Renewal 2026,ACC000236,Perception Analysis,2027-03-13,37195
OPP000237,Cascade Financial Security — Expansion 2026,ACC000237,Proposal/Price Quote,2027-03-14,37332
OPP000238,Premier Risk Solutions — New Business 2026,ACC000238,Negotiation/Review,2027-03-15,37469
OPP000239,Horizon Assurance Group — Upgrade 2026,ACC000239,Closed Won,2027-03-16,37606
OPP000240,Keystone Benefits Co. — Upsell 2026,ACC000240,Closed Lost,2027-03-17,37743
OPP000241,Streamline Coverage Partners — Renewal 2026,ACC000241,Prospecting,2027-03-18,
OPP000242,Apex Insurance Holdings — Expansion 2026,ACC000242,Qualification,2027-03-19,38017
OPP000243,Valley Risk Management — New Business 2026,ACC000243,Needs Analysis,2027-03-20,38154
OPP000244,Crestview Financial Services — Upgrade 2026,ACC000244,Value Proposition,2027-03-21,38291
OPP000245,Lakeside Protection Group — Upsell 2026,ACC000245,Id. Decision Makers,2027-03-22,38428
OPP000246,Sterling Risk Partners — Renewal 2026,ACC000246,Perception Analysis,2027-03-23,38565
OPP000247,Westpoint Insurance Alliance — Expansion 2026,ACC000247,Proposal/Price Quote,2027-03-24,
OPP000248,Clearwater Benefits Group — New Business 2026,,Negotiation/Review,2027-03-25,38839
OPP000249,Redwood Assurance Co. — Upgrade 2026,ACC000249,Closed Won,2027-03-26,38976
OPP000250,Oakridge Financial Partners — Upsell 2026,ACC000250,Closed Lost,2027-03-27,39113
OPP000251,Sunrise Financial Group — Renewal 2026,ACC000251,Prospecting,2027-03-28,39250
OPP000252,Meridian Life Partners — Expansion 2026,ACC000252,Qualification,2027-03-29,39387
OPP000253,Pacific Coast Assurance — New Business 2026,ACC000253,Needs Analysis,2027-03-30,
OPP000254,BlueSky Protection Services — Upgrade 2026,ACC000254,Value Proposition,2027-03-31,39661
OPP000255,Cornerstone Risk Management — Upsell 2026,ACC000255,Id. Decision Makers,2027-04-01,39798
OPP000256,Evergreen Coverage Co. — Renewal 2026,ACC000256,Perception Analysis,2027-04-02,39935
OPP000257,Pinnacle Insurance Brokers — Expansion 2026,ACC000257,Proposal/Price Quote,2027-04-03,40072
OPP000258,Heritage Mutual Group — New Business 2026,ACC000258,Negotiation/Review,2027-04-04,40209
OPP000259,Coastal Risk Advisors — Upgrade 2026,ACC000259,Closed Won,2027-04-05,
OPP000260,Summit Protection Alliance — Upsell 2026,ACC000260,Closed Lost,2027-04-06,40483
OPP000261,Lighthouse Insurance Services — Renewal 2026,,Prospecting,2027-04-07,40620
OPP000262,Cascade Financial Security — Expansion 2026,ACC000262,Qualification,2027-04-08,40757
OPP000263,Premier Risk Solutions — New Business 2026,ACC000263,Needs Analysis,2027-04-09,40894
OPP000264,Horizon Assurance Group — Upgrade 2026,ACC000264,Value Proposition,2027-04-10,41031
OPP000265,Keystone Benefits Co. — Upsell 2026,ACC000265,Id. Decision Makers,2027-04-11,
OPP000266,Streamline Coverage Partners — Renewal 2026,ACC000266,Perception Analysis,2027-04-12,41305
OPP000267,Apex Insurance Holdings — Expansion 2026,ACC000267,Proposal/Price Quote,2027-04-13,41442
OPP000268,Valley Risk Management — New Business 2026,ACC000268,Negotiation/Review,2027-04-14,41579
OPP000269,Crestview Financial Services — Upgrade 2026,ACC000269,Closed Won,2027-04-15,41716
OPP000270,Lakeside Protection Group — Upsell 2026,ACC000270,Closed Lost,2027-04-16,41853
OPP000271,Sterling Risk Partners — Renewal 2026,ACC000271,Prospecting,2027-04-17,
OPP000272,Westpoint Insurance Alliance — Expansion 2026,ACC000272,Qualification,2027-04-18,42127
OPP000273,Clearwater Benefits Group — New Business 2026,ACC000273,Needs Analysis,2027-04-19,42264
OPP000274,Redwood Assurance Co. — Upgrade 2026,,Value Proposition,2027-04-20,42401
OPP000275,Oakridge Financial Partners — Upsell 2026,ACC000275,Id. Decision Makers,2027-04-21,42538
OPP000276,Sunrise Financial Group — Renewal 2026,ACC000276,Perception Analysis,2027-04-22,42675
OPP000277,Meridian Life Partners — Expansion 2026,ACC000277,Proposal/Price Quote,2027-04-23,
OPP000278,Pacific Coast Assurance — New Business 2026,ACC000278,Negotiation/Review,2027-04-24,42949
OPP000279,BlueSky Protection Services — Upgrade 2026,ACC000279,Closed Won,2027-04-25,43086
OPP000280,Cornerstone Risk Management — Upsell 2026,ACC000280,Closed Lost,2027-04-26,43223
OPP000281,Evergreen Coverage Co. — Renewal 2026,ACC000281,Prospecting,2027-04-27,43360
OPP000282,Pinnacle Insurance Brokers — Expansion 2026,ACC000282,Qualification,2027-04-28,43497
OPP000283,Heritage Mutual Group — New Business 2026,ACC000283,Needs Analysis,2027-04-29,
OPP000284,Coastal Risk Advisors — Upgrade 2026,ACC000284,Value Proposition,2027-04-30,43771
OPP000285,Summit Protection Alliance — Upsell 2026,ACC000285,Id. Decision Makers,2027-05-01,43908
OPP000286,Lighthouse Insurance Services — Renewal 2026,ACC000286,Perception Analysis,2027-05-02,44045
