ExternalId,Subject,Status,Priority,Reason,Account_ExternalId__c,Contact_ExternalId__c
CASE000152,Order Delay — Case 152,Closed,Medium,Order Delay,ACC000152,CON000152
CASE000153,Order Delay — Case 153,New,,Order Delay,ACC000153,
CASE000154,Order Delay — Case 154,Working,High,Order Delay,,CON000154
CASE000155,Order Delay — Case 155,Escalated,,Order Delay,ACC000155,
CASE000156,Order Delay — Case 156,Closed,Low,Order Delay,ACC000156,CON000156
CASE000157,Order Delay — Case 157,New,,Order Delay,,
CASE000158,Order Delay — Case 158,Working,Medium,Order Delay,ACC000158,CON000158
CASE000159,Order Delay — Case 159,Escalated,,Order Delay,ACC000159,
CASE000160,Order Delay — Case 160,Closed,High,Order Delay,,CON000160
CASE000161,Order Delay — Case 161,New,,Order Delay,ACC000161,
CASE000162,Order Delay — Case 162,Working,Low,Order Delay,ACC000162,CON000162
CASE000163,Order Delay — Case 163,Escalated,,Order Delay,,
CASE000164,Order Delay — Case 164,Closed,Medium,Order Delay,ACC000164,CON000164
CASE000165,Order Delay — Case 165,New,,Order Delay,ACC000165,
CASE000166,Order Delay — Case 166,Working,High,Order Delay,,CON000166
CASE000167,Order Delay — Case 167,Escalated,,Order Delay,ACC000167,
CASE000168,Order Delay — Case 168,Closed,Low,Order Delay,ACC000168,CON000168
CASE000169,Order Delay — Case 169,New,,Order Delay,,
CASE000170,Order Delay — Case 170,Working,Medium,Order Delay,ACC000170,CON000170
CASE000171,Order Delay — Case 171,Escalated,,Order Delay,ACC000171,
CASE000172,Order Delay — Case 172,Closed,High,Order Delay,,CON000172
CASE000173,Order Delay — Case 173,New,,Order Delay,ACC000173,
CASE000174,Order Delay — Case 174,Working,Low,Order Delay,ACC000174,CON000174
CASE000175,Order Delay — Case 175,Escalated,,Order Delay,,
CASE000176,Order Delay — Case 176,Closed,Medium,Order Delay,ACC000176,CON000176
CASE000177,Order Delay — Case 177,New,,Order Delay,ACC000177,
CASE000178,Order Delay — Case 178,Working,High,Order Delay,,CON000178
CASE000179,Order Delay — Case 179,Escalated,,Order Delay,ACC000179,
CASE000180,Order Delay — Case 180,Closed,Low,Order Delay,ACC000180,CON000180
CASE000181,Order Delay — Case 181,New,,Order Delay,,
CASE000182,Order Delay — Case 182,Working,Medium,Order Delay,ACC000182,CON000182
CASE000183,Order Delay — Case 183,Escalated,,Order Delay,ACC000183,
CASE000184,Order Delay — Case 184,Closed,High,Order Delay,,CON000184
CASE000185,Order Delay — Case 185,New,,Order Delay,ACC000185,
CASE000186,Order Delay — Case 186,Working,Low,Order Delay,ACC000186,CON000186
CASE000187,Order Delay — Case 187,Escalated,,Order Delay,,
CASE000188,Order Delay — Case 188,Closed,Medium,Order Delay,ACC000188,CON000188
CASE000189,Order Delay — Case 189,New,,Order Delay,ACC000189,
CASE000190,Order Delay — Case 190,Working,High,Order Delay,,CON000190
CASE000191,Order Delay — Case 191,Escalated,,Order Delay,ACC000191,
CASE000192,Order Delay — Case 192,Closed,Low,Order Delay,ACC000192,CON000192
CASE000193,Order Delay — Case 193,New,,Order Delay,,
CASE000194,Order Delay — Case 194,Working,Medium,Order Delay,ACC000194,CON000194
CASE000195,Order Delay — Case 195,Escalated,,Order Delay,ACC000195,
CASE000196,Order Delay — Case 196,Closed,High,Order Delay,,CON000196
CASE000197,Order Delay — Case 197,New,,Order Delay,ACC000197,
CASE000198,Order Delay — Case 198,Working,Low,Order Delay,ACC000198,CON000198
CASE000199,Order Delay — Case 199,Escalated,,Order Delay,,
CASE000200,Order Delay — Case 200,Closed,Medium,Order Delay,ACC000200,CON000200
CASE000201,Order Delay — Case 201,New,,Order Delay,ACC000201,
CASE000202,Order Delay — Case 202,Working,High,Order Delay,,CON000202
CASE000203,Order Delay — Case 203,Escalated,,Order Delay,ACC000203,
CASE000204,Order Delay — Case 204,Closed,Low,Order Delay,ACC000204,CON000204
CASE000205,Order Delay — Case 205,New,,Order Delay,,
CASE000206,Order Delay — Case 206,Working,Medium,Order Delay,ACC000206,CON000206
CASE000207,Order Delay — Case 207,Escalated,,Order Delay,ACC000207,
CASE000208,Order Delay — Case 208,Closed,High,Order Delay,,CON000208
CASE000209,Order Delay — Case 209,New,,Order Delay,ACC000209,
CASE000210,Order Delay — Case 210,Working,Low,Order Delay,ACC000210,CON000210
CASE000211,Order Delay — Case 211,Escalated,,Order Delay,,
CASE000212,Order Delay — Case 212,Closed,Medium,Order Delay,ACC000212,CON000212
CASE000213,Order Delay — Case 213,New,,Order Delay,ACC000213,
CASE000214,Order Delay — Case 214,Working,High,Order Delay,,CON000214
CASE000215,Order Delay — Case 215,Escalated,,Order Delay,ACC000215,
CASE000216,Order Delay — Case 216,Closed,Low,Order Delay,ACC000216,CON000216
CASE000217,Order Delay — Case 217,New,,Order Delay,,
CASE000218,Order Delay — Case 218,Working,Medium,Order Delay,ACC000218,CON000218
CASE000219,Order Delay — Case 219,Escalated,,Order Delay,ACC000219,
CASE000220,Order Delay — Case 220,Closed,High,Order Delay,,CON000220
CASE000221,Order Delay — Case 221,New,,Order Delay,ACC000221,
CASE000222,Order Delay — Case 222,Working,Low,Order Delay,ACC000222,CON000222
CASE000223,Order Delay — Case 223,Escalated,,Order Delay,,
CASE000224,Order Delay — Case 224,Closed,Medium,Order Delay,ACC000224,CON000224
CASE000225,Order Delay — Case 225,New,,Order Delay,ACC000225,
CASE000226,Order Delay — Case 226,Working,High,Order Delay,,CON000226
CASE000227,Order Delay — Case 227,Escalated,,Order Delay,ACC000227,
CASE000228,Order Delay — Case 228,Closed,Low,Order Delay,ACC000228,CON000228
CASE000229,Order Delay — Case 229,New,,Order Delay,,
CASE000230,Order Delay — Case 230,Working,Medium,Order Delay,ACC000230,CON000230
CASE000231,Order Delay — Case 231,Escalated,,Order Delay,ACC000231,
CASE000232,Order Delay — Case 232,Closed,High,Order Delay,,CON000232
CASE000233,Order Delay — Case 233,New,,Order Delay,ACC000233,
CASE000234,Order Delay — Case 234,Working,Low,Order Delay,ACC000234,CON000234
CASE000235,Order Delay — Case 235,Escalated,,Order Delay,,
CASE000236,Order Delay — Case 236,Closed,Medium,Order Delay,ACC000236,CON000236
CASE000237,Order Delay — Case 237,New,,Order Delay,ACC000237,
CASE000238,Order Delay — Case 238,Working,High,Order Delay,,CON000238
CASE000239,Order Delay — Case 239,Escalated,,Order Delay,ACC000239,
CASE000240,Order Delay — Case 240,Closed,Low,Order Delay,ACC000240,CON000240
CASE000241,Order Delay — Case 241,New,,Order Delay,,
CASE000242,Order Delay — Case 242,Working,Medium,Order Delay,ACC000242,CON000242
CASE000243,Order Delay — Case 243,Escalated,,Order Delay,ACC000243,
CASE000244,Order Delay — Case 244,Closed,High,Order Delay,,CON000244
CASE000245,Order Delay — Case 245,New,,Order Delay,ACC000245,
CASE000246,Order Delay — Case 246,Working,Low,Order Delay,ACC000246,CON000246
CASE000247,Order Delay — Case 247,Escalated,,Order Delay,,
CASE000248,Order Delay — Case 248,Closed,Medium,Order Delay,ACC000248,CON000248
CASE000249,Order Delay — Case 249,New,,Order Delay,ACC000249,
CASE000250,Order Delay — Case 250,Working,High,Order Delay,,CON000250
CASE000251,Order Delay — Case 251,Escalated,,Order Delay,ACC000251,
CASE000252,Order Delay — Case 252,Closed,Low,Order Delay,ACC000252,CON000252
CASE000253,Order Delay — Case 253,New,,Order Delay,,
CASE000254,Order Delay — Case 254,Working,Medium,Order Delay,ACC000254,CON000254
CASE000255,Order Delay — Case 255,Escalated,,Order Delay,ACC000255,
CASE000256,Order Delay — Case 256,Closed,High,Order Delay,,CON000256
CASE000257,Order Delay — Case 257,New,,Order Delay,ACC000257,
CASE000258,Order Delay — Case 258,Working,Low,Order Delay,ACC000258,CON000258
CASE000259,Order Delay — Case 259,Escalated,,Order Delay,,
CASE000260,Order Delay — Case 260,Closed,Medium,Order Delay,ACC000260,CON000260
CASE000261,Order Delay — Case 261,New,,Order Delay,ACC000261,
CASE000262,Order Delay — Case 262,Working,High,Order Delay,,CON000262
CASE000263,Order Delay — Case 263,Escalated,,Order Delay,ACC000263,
CASE000264,Order Delay — Case 264,Closed,Low,Order Delay,ACC000264,CON000264
CASE000265,Order Delay — Case 265,New,,Order Delay,,
CASE000266,Order Delay — Case 266,Working,Medium,Order Delay,ACC000266,CON000266
CASE000267,Order Delay — Case 267,Escalated,,Order Delay,ACC000267,
CASE000268,Order Delay — Case 268,Closed,High,Order Delay,,CON000268
CASE000269,Order Delay — Case 269,New,,Order Delay,ACC000269,
CASE000270,Order Delay — Case 270,Working,Low,Order Delay,ACC000270,CON000270
CASE000271,Order Delay — Case 271,Escalated,,Order Delay,,
CASE000272,Order Delay — Case 272,Closed,Medium,Order Delay,ACC000272,CON000272
CASE000273,Order Delay — Case 273,New,,Order Delay,ACC000273,
CASE000274,Order Delay — Case 274,Working,High,Order Delay,,CON000274
CASE000275,Order Delay — Case 275,Escalated,,Order Delay,ACC000275,
CASE000276,Order Delay — Case 276,Closed,Low,Order Delay,ACC000276,CON000276
CASE000277,Order Delay — Case 277,New,,Order Delay,,
CASE000278,Order Delay — Case 278,Working,Medium,Order Delay,ACC000278,CON000278
CASE000279,Order Delay — Case 279,Escalated,,Order Delay,ACC000279,
CASE000280,Order Delay — Case 280,Closed,High,Order Delay,,CON000280
CASE000281,Order Delay — Case 281,New,,Order Delay,ACC000281,
CASE000282,Order Delay — Case 282,Working,Low,Order Delay,ACC000282,CON000282
CASE000283,Order Delay — Case 283,Escalated,,Order Delay,,
CASE000284,Order Delay — Case 284,Closed,Medium,Order Delay,ACC000284,CON000284
CASE000285,Order Delay — Case 285,New,,Order Delay,ACC000285,
CASE000286,Order Delay — Case 286,Working,High,Order Delay,,CON000286
CASE000287,Order Delay — Case 287,Escalated,,Order Delay,ACC000287,
CASE000288,Order Delay — Case 288,Closed,Low,Order Delay,ACC000288,CON000288
CASE000289,Order Delay — Case 289,New,,Order Delay,,
CASE000290,Order Delay — Case 290,Working,Medium,Order Delay,ACC000290,CON000290
CASE000291,Order Delay — Case 291,Escalated,,Order Delay,ACC000291,
CASE000292,Order Delay — Case 292,Closed,High,Order Delay,,CON000292
CASE000293,Order Delay — Case 293,New,,Order Delay,ACC000293,
CASE000294,Order Delay — Case 294,Working,Low,Order Delay,ACC000294,CON000294
CASE000295,Order Delay — Case 295,Escalated,,Order Delay,,
CASE000296,Order Delay — Case 296,Closed,Medium,Order Delay,ACC000296,CON000296
CASE000297,Order Delay — Case 297,New,,Order Delay,ACC000297,
CASE000298,Order Delay — Case 298,Working,High,Order Delay,,CON000298
CASE000299,Order Delay — Case 299,Escalated,,Order Delay,ACC000299,
CASE000300,Order Delay — Case 300,Closed,Low,Order Delay,ACC000300,CON000300
CASE000301,Order Delay — Case 301,New,,Order Delay,,
CASE000302,Order Delay — Case 302,Working,Medium,Order Delay,ACC000302,CON000302
CASE000303,Order Delay — Case 303,Escalated,,Order Delay,ACC000303,
CASE000304,Order Delay — Case 304,Closed,High,Order Delay,,CON000304
CASE000305,Wrong Item Shipped — Case 305,New,,Wrong Item Shipped,ACC000305,
CASE000306,Wrong Item Shipped — Case 306,Working,Low,Wrong Item Shipped,ACC000306,CON000306
CASE000307,Wrong Item Shipped — Case 307,Escalated,,Wrong Item Shipped,,
CASE000308,Wrong Item Shipped — Case 308,Closed,Medium,Wrong Item Shipped,ACC000308,CON000308
CASE000309,Wrong Item Shipped — Case 309,New,,Wrong Item Shipped,ACC000309,
CASE000310,Wrong Item Shipped — Case 310,Working,High,Wrong Item Shipped,,CON000310
CASE000311,Wrong Item Shipped — Case 311,Escalated,,Wrong Item Shipped,ACC000311,
CASE000312,Wrong Item Shipped — Case 312,Closed,Low,Wrong Item Shipped,ACC000312,CON000312
CASE000313,Wrong Item Shipped — Case 313,New,,Wrong Item Shipped,,
CASE000314,Wrong Item Shipped — Case 314,Working,Medium,Wrong Item Shipped,ACC000314,CON000314
CASE000315,Wrong Item Shipped — Case 315,Escalated,,Wrong Item Shipped,ACC000315,
CASE000316,Wrong Item Shipped — Case 316,Closed,High,Wrong Item Shipped,,CON000316
CASE000317,Wrong Item Shipped — Case 317,New,,Wrong Item Shipped,ACC000317,
CASE000318,Wrong Item Shipped — Case 318,Working,Low,Wrong Item Shipped,ACC000318,CON000318
CASE000319,Wrong Item Shipped — Case 319,Escalated,,Wrong Item Shipped,,
CASE000320,Wrong Item Shipped — Case 320,Closed,Medium,Wrong Item Shipped,ACC000320,CON000320
CASE000321,Wrong Item Shipped — Case 321,New,,Wrong Item Shipped,ACC000321,
CASE000322,Wrong Item Shipped — Case 322,Working,High,Wrong Item Shipped,,CON000322
CASE000323,Wrong Item Shipped — Case 323,Escalated,,Wrong Item Shipped,ACC000323,
CASE000324,Wrong Item Shipped — Case 324,Closed,Low,Wrong Item Shipped,ACC000324,CON000324
CASE000325,Wrong Item Shipped — Case 325,New,,Wrong Item Shipped,,
CASE000326,Wrong Item Shipped — Case 326,Working,Medium,Wrong Item Shipped,ACC000326,CON000326
CASE000327,Wrong Item Shipped — Case 327,Escalated,,Wrong Item Shipped,ACC000327,
CASE000328,Wrong Item Shipped — Case 328,Closed,High,Wrong Item Shipped,,CON000328
CASE000329,Wrong Item Shipped — Case 329,New,,Wrong Item Shipped,ACC000329,
CASE000330,Wrong Item Shipped — Case 330,Working,Low,Wrong Item Shipped,ACC000330,CON000330
CASE000331,Wrong Item Shipped — Case 331,Escalated,,Wrong Item Shipped,,
CASE000332,Wrong Item Shipped — Case 332,Closed,Medium,Wrong Item Shipped,ACC000332,CON000332
CASE000333,Wrong Item Shipped — Case 333,New,,Wrong Item Shipped,ACC000333,
CASE000334,Wrong Item Shipped — Case 334,Working,High,Wrong Item Shipped,,CON000334
CASE000335,Wrong Item Shipped — Case 335,Escalated,,Wrong Item Shipped,ACC000335,
CASE000336,Wrong Item Shipped — Case 336,Closed,Low,Wrong Item Shipped,ACC000336,CON000336
CASE000337,Wrong Item Shipped — Case 337,New,,Wrong Item Shipped,,
CASE000338,Wrong Item Shipped — Case 338,Working,Medium,Wrong Item Shipped,ACC000338,CON000338
CASE000339,Wrong Item Shipped — Case 339,Escalated,,Wrong Item Shipped,ACC000339,
CASE000340,Wrong Item Shipped — Case 340,Closed,High,Wrong Item Shipped,,CON000340
CASE000341,Wrong Item Shipped — Case 341,New,,Wrong Item Shipped,ACC000341,
CASE000342,Wrong Item Shipped — Case 342,Working,Low,Wrong Item Shipped,ACC000342,CON000342
CASE000343,Wrong Item Shipped — Case 343,Escalated,,Wrong Item Shipped,,
CASE000344,Wrong Item Shipped — Case 344,Closed,Medium,Wrong Item Shipped,ACC000344,CON000344
CASE000345,Wrong Item Shipped — Case 345,New,,Wrong Item Shipped,ACC000345,
CASE000346,Wrong Item Shipped — Case 346,Working,High,Wrong Item Shipped,,CON000346
CASE000347,Wrong Item Shipped — Case 347,Escalated,,Wrong Item Shipped,ACC000347,
CASE000348,Wrong Item Shipped — Case 348,Closed,Low,Wrong Item Shipped,ACC000348,CON000348
CASE000349,Wrong Item Shipped — Case 349,New,,Wrong Item Shipped,,
CASE000350,Wrong Item Shipped — Case 350,Working,Medium,Wrong Item Shipped,ACC000350,CON000350
CASE000351,Wrong Item Shipped — Case 351,Escalated,,Wrong Item Shipped,ACC000351,
CASE000352,Wrong Item Shipped — Case 352,Closed,High,Wrong Item Shipped,,CON000352
CASE000353,Wrong Item Shipped — Case 353,New,,Wrong Item Shipped,ACC000353,
CASE000354,Wrong Item Shipped — Case 354,Working,Low,Wrong Item Shipped,ACC000354,CON000354
CASE000355,Wrong Item Shipped — Case 355,Escalated,,Wrong Item Shipped,,
CASE000356,Wrong Item Shipped — Case 356,Closed,Medium,Wrong Item Shipped,ACC000356,CON000356
CASE000357,Wrong Item Shipped — Case 357,New,,Wrong Item Shipped,ACC000357,
CASE000358,Wrong Item Shipped — Case 358,Working,High,Wrong Item Shipped,,CON000358
CASE000359,Wrong Item Shipped — Case 359,Escalated,,Wrong Item Shipped,ACC000359,
CASE000360,Wrong Item Shipped — Case 360,Closed,Low,Wrong Item Shipped,ACC000360,CON000360
CASE000361,Wrong Item Shipped — Case 361,New,,Wrong Item Shipped,,
CASE000362,Wrong Item Shipped — Case 362,Working,Medium,Wrong Item Shipped,ACC000362,CON000362
CASE000363,Wrong Item Shipped — Case 363,Escalated,,Wrong Item Shipped,ACC000363,
CASE000364,Wrong Item Shipped — Case 364,Closed,High,Wrong Item Shipped,,CON000364
CASE000365,Wrong Item Shipped — Case 365,New,,Wrong Item Shipped,ACC000365,
CASE000366,Wrong Item Shipped — Case 366,Working,Low,Wrong Item Shipped,ACC000366,CON000366
CASE000367,Wrong Item Shipped — Case 367,Escalated,,Wrong Item Shipped,,
CASE000368,Wrong Item Shipped — Case 368,Closed,Medium,Wrong Item Shipped,ACC000368,CON000368
CASE000369,Wrong Item Shipped — Case 369,New,,Wrong Item Shipped,ACC000369,
